FROM_ZIP,nrst_dist
27006,8.1520507748
27007,7.7301239498
27009,14.116499618
27010,7.0142043287
27011,5.300490424
27012,5.435890251
27013,8.0671442564
27014,6.1198320118
27016,2.0021774228
27017,8.0138423229
27018,8.9108180814
27019,8.7302287085
27020,8.539468621
27021,8.7014703114
27022,5.9999520476
27023,7.8533727512
27024,12.004196754
27025,14.985202659
27027,13.70791828
27028,0.4560969022
27030,2.1251659618
27031,0.795135177
27040,6.7910468127
27041,9.2938602392
27042,11.030565399
27043,13.161380602
27045,10.507104364
27046,8.6081917252
27047,12.055032097
27048,9.5652881039
27049,1.2018333099
27050,11.916628577
27051,8.7278146388
27052,7.1549541207
27053,8.1816131453
27054,8.3144426728
27055,2.0648124407
27094,10.401511155
27098,10.401511155
27099,10.401511155
27101,4.4099213149
27102,1.4947478214
27103,0.898633661
27104,1.5458062335
27105,5.425339974
27106,4.5270134378
27107,8.5359251392
27108,1.3050902198
27109,2.9563573495
27110,2.6440588309
27111,1.4917742663
27113,1.4947478214
27114,1.456800841
27115,1.241283777
27116,1.446298202
27117,1.5321402188
27120,1.7858711504
27127,2.8000002783
27130,1.5525101101
27150,3.575157418
27152,3.6065044628
27155,3.7987896221
27157,3.4917889517
27198,1.3893679528
27199,1.289232007
27201,1.9845005746
27202,8.3908492329
27203,3.0524590831
27204,0.2903530583
27205,4.648362088
27207,9.4522735252
27208,11.954145179
27209,19.077871254
27212,23.110076754
27213,5.7061334347
27214,8.1481926737
27215,2.3718049253
27216,3.8917333863
27217,11.970095939
27228,10.293642371
27229,19.622082771
27230,5.4344589001
27231,18.577625488
27233,14.132985639
27235,9.2093084578
27237,6.3615992439
27239,15.829547281
27242,13.516251001
27243,13.912919323
27244,9.7747750556
27247,18.482203987
27248,7.6129986362
27249,8.7421573471
27252,10.974426634
27253,11.097053901
27256,8.5690656561
27258,9.6906560055
27259,18.066933803
27260,1.151355695
27261,0.5752542371
27262,1.6466274417
27263,5.0366694744
27264,0.5752542371
27265,3.713521979
27278,8.5027762805
27281,10.354764287
27282,5.1115657199
27283,10.655560639
27284,11.108685072
27285,11.250773776
27288,0.568484456
27289,1.5173691583
27291,27.759472441
27292,7.2624582491
27293,2.3725996889
27294,2.3725996889
27295,5.4825342041
27298,12.646289629
27299,6.3137483827
27301,6.1836307001
27302,13.727349127
27305,27.177128255
27306,15.865735873
27310,11.012419986
27311,12.787661343
27312,12.374923651
27313,11.126809818
27314,23.111801386
27315,18.245179401
27316,11.195867187
27317,8.8244061394
27320,1.5295697325
27323,0.1061282158
27325,18.004369322
27326,9.0604460119
27330,2.9286089805
27331,0.8640760057
27332,7.2163872579
27340,12.557667771
27341,14.638580377
27342,7.1981961884
27343,30.108768533
27344,1.2488848927
27349,11.765650061
27350,7.47803967
27351,9.4020725364
27355,9.4246150515
27356,18.744039267
27357,13.126423051
27358,7.2879537548
27359,8.01870007
27360,1.3289007783
27361,1.5625210544
27370,9.0461069949
27371,14.386016602
27373,7.6634765509
27374,7.096884009
27375,6.6929975252
27376,5.2925827969
27377,6.1341840914
27379,18.001525828
27401,1.3833076118
27402,1.1503081731
27403,1.4059742076
27404,1.1503081731
27405,2.6236967547
27406,6.7785731401
27407,5.8089082722
27408,1.4016552765
27409,6.3725720514
27410,4.305967715
27411,0.9948525732
27412,1.1503081731
27413,1.1856280983
27415,1.1503081731
27416,1.1503081731
27417,1.1503081731
27419,1.1503081731
27420,1.1503081731
27425,1.1715339484
27427,1.1503081731
27429,1.1503081731
27435,1.1503081731
27438,1.1503081731
27455,2.8532236359
27495,3.1798514442
27497,1.5644292185
27498,1.1503081731
27499,1.1503081731
27501,10.665820538
27502,6.8704250838
27503,7.7292377311
27504,9.9057114294
27505,11.41955355
27506,6.7438058753
27507,11.922523858
27508,10.895908064
27509,9.6312338676
27510,1.7579137025
27511,1.3382905029
27512,2.9619725539
27513,3.4394159927
27514,4.4257612102
27515,0.6958997571
27516,6.2272005041
27517,4.4922130495
27518,0.658430168
27519,5.7990097339
27520,9.8786026193
27521,6.3517026177
27522,12.94240052
27523,6.7584470845
27524,6.8525465367
27525,9.9916326742
27526,13.888397999
27527,9.137135605
27528,11.318886073
27529,9.6679422248
27530,9.0618202732
27531,3.948595195
27532,2.501995644
27533,2.501995644
27534,3.9785447515
27536,2.075817939
27537,4.7867039265
27539,4.3474550851
27540,10.41311679
27541,18.215209256
27542,12.428518441
27543,9.2272571678
27544,9.0283346626
27545,6.3599427755
27546,11.281125195
27549,4.977749863
27551,22.506478262
27552,14.826738491
27553,12.602018495
27555,8.2215843165
27556,8.4056616615
27557,14.52153037
27559,12.292288103
27560,2.9792843343
27562,11.859283723
27563,18.005242631
27565,3.4470902206
27568,5.3571595488
27569,11.011802951
27570,14.609103486
27571,8.4863906229
27572,14.633609993
27573,22.11570325
27574,20.246863502
27576,6.952400429
27577,2.3823278131
27581,11.18468657
27582,8.773794289
27583,17.902160657
27584,13.038729851
27586,19.800119703
27587,6.590353501
27588,7.8304457051
27589,17.121846145
27591,11.152512365
27592,13.454750265
27593,4.9551474671
27594,18.801591831
27596,11.36111245
27597,15.074867947
27599,0.7117671171
27601,2.6744500877
27602,2.9846695263
27603,6.824667764
27604,2.5296378292
27605,2.7377969346
27606,2.3193077986
27607,0.4659922413
27608,1.7017824407
27609,1.1739163117
27610,4.1653004419
27611,3.008710373
27612,2.5074202088
27613,3.7750686928
27614,3.582868834
27615,1.2663973687
27616,4.4577793919
27617,1.394927139
27619,2.9846695263
27620,2.9846695263
27621,2.9846695263
27622,2.9846695263
27623,1.9429041042
27624,2.9846695263
27625,2.9846695263
27626,2.9846695263
27627,2.9846695263
27628,2.9846695263
27629,2.9846695263
27634,2.9846695263
27635,2.9846695263
27636,2.9846695263
27640,2.9846695263
27650,2.9846695263
27656,2.9846695263
27658,2.9846695263
27661,2.0433011694
27668,2.9846695263
27675,2.9846695263
27676,2.5221484507
27690,2.9846695263
27695,0.7061632232
27697,2.9846695263
27698,2.9846695263
27699,2.9846695263
27701,1.9533636798
27702,2.1861182114
27703,3.2244561052
27704,3.6753583914
27705,3.3070632884
27706,0.8752909362
27707,2.9472291821
27708,0.8400164416
27709,3.85138233
27710,2.1861182114
27711,2.1861182114
27712,3.5533578965
27713,1.6821595255
27715,2.1861182114
27717,2.1861182114
27722,2.1861182114
27801,7.5257933027
27802,3.5263358616
27803,5.1437898571
27804,0.6279143091
27805,8.2679914037
27806,21.345170954
27807,8.0578700776
27808,16.571116925
27809,4.9250695943
27810,25.063277531
27811,6.2184554221
27812,10.124472581
27813,5.8551694918
27814,12.953453482
27815,6.0275983948
27816,11.909774558
27817,7.6131114225
27818,14.215091046
27819,8.9482946288
27820,17.235420214
27821,17.255000571
27822,5.5014844942
27823,16.585462624
27824,37.648637906
27825,5.6855212506
27826,37.999364431
27827,8.5130358532
27828,9.0812895401
27829,14.234313594
27830,10.136146225
27831,7.0111778848
27832,6.6022666308
27833,1.5750654498
27834,4.0617102176
27835,1.5793940082
27836,1.5793940082
27837,9.4846322982
27839,11.209312576
27840,11.61729386
27841,12.39591087
27842,12.933750788
27843,8.745717201
27844,19.444180838
27845,12.152637786
27846,11.561760799
27847,12.456478554
27849,17.088345919
27850,13.030521593
27851,7.0704409256
27852,10.535021448
27853,20.282602837
27855,10.123330857
27856,9.0092935207
27857,14.322095997
27858,8.3693934798
27860,18.748038029
27861,13.448224688
27862,18.017684145
27863,5.9446975827
27864,9.5712371024
27865,13.208613629
27866,10.50825523
27867,14.716089838
27868,5.3984503899
27869,19.222791287
27870,3.8875949973
27871,10.76471634
27872,15.690702816
27873,10.530068895
27874,16.473821256
27875,32.995102196
27876,14.539470345
27877,18.499331901
27878,7.4796223999
27879,7.1059117549
27880,9.0173380026
27881,6.8337960686
27882,15.022005314
27883,10.848103772
27884,10.110205498
27885,44.517166813
27886,3.7759427821
27887,15.546161948
27888,15.176055875
27889,3.773554338
27890,3.5976483832
27891,9.4178940103
27892,2.5065816762
27893,3.4474128346
27894,1.5774668568
27895,1.5774668568
27896,2.9646615963
27897,11.53084216
27906,1.3656699642
27907,1.3656699642
27909,3.1154641193
27910,1.5725236553
27915,42.080332673
27916,17.232919681
27917,12.776503707
27919,16.430147908
27920,46.835089074
27921,3.9235339884
27922,8.2445702875
27923,15.654689946
27924,11.797834615
27925,29.430038732
27926,23.960106681
27927,21.808464672
27928,19.20064581
27929,14.549108697
27930,12.557331053
27932,4.2492464798
27935,12.202414781
27936,48.217554985
27937,18.192269936
27938,16.951845318
27939,18.435269766
27941,17.157296992
27942,12.2812657
27943,49.898604906
27944,13.433104482
27946,19.708063688
27947,21.976205309
27948,8.1347360661
27949,14.874214341
27950,17.574587828
27953,17.157142877
27954,4.3618387046
27956,13.266907752
27957,8.8165965089
27958,10.622524424
27959,0.4924378838
27960,51.606373624
27962,18.049516569
27964,14.330465327
27965,19.012848764
27966,18.893143728
27967,4.5153787524
27968,19.775156955
27969,15.824238816
27970,16.055018291
27972,32.970033765
27973,7.8670390255
27974,12.501772085
27976,12.64280501
27978,16.64211625
27979,21.10106659
27980,12.208174404
27981,7.12332359
27982,27.268070041
27983,12.86248051
27985,12.319716806
27986,8.3262793261
28001,1.8857773041
28002,0.6100066618
28006,8.5238315237
28007,10.182822775
28009,5.9236498619
28010,5.6894313832
28012,2.226889787
28016,7.0791282918
28017,7.0634240859
28018,12.139627068
28019,11.402119202
28020,13.402909963
28021,10.494783621
28023,7.7829441435
28024,13.825544614
28025,5.9127955363
28026,2.2236972117
28027,4.2269725649
28031,2.460571747
28032,2.9263927409
28033,9.0599841243
28034,5.8606174074
28035,2.680297626
28036,4.781447786
28037,9.3587235089
28038,7.0121609814
28039,2.1727618325
28040,11.966557465
28041,6.569478906
28042,8.8254003284
28043,6.5097587108
28052,6.4469026167
28053,2.9100943046
28054,1.1004997323
28055,2.9100943046
28056,2.2543899824
28070,1.0319638986
28071,12.435367769
28072,4.7559556691
28073,7.1875296121
28074,9.7663726333
28075,5.7135231422
28076,13.031744764
28077,5.8345557497
28078,0.1517804476
28079,5.0011106437
28080,5.7485729988
28081,5.7401118518
28082,2.7306474737
28083,2.168356277
28086,1.3302050686
28088,5.9465581998
28089,7.3146457202
28090,11.984187323
28091,6.6912555603
28092,2.7981501546
28093,3.1669270115
28097,12.658427684
28098,2.2550996332
28101,2.8112567732
28102,11.460469107
28103,9.5355477253
28104,3.6217517654
28105,0.8322672796
28106,0.6481707565
28107,9.4478969697
28108,8.3360468092
28109,10.058530626
28110,6.664696334
28111,1.6905040765
28112,4.7097161778
28114,11.449515962
28115,5.7471105305
28117,2.9910814898
28119,7.6002280023
28120,5.1665713695
28123,0.3891727179
28124,11.01943464
28125,11.109543539
28126,1.9747487418
28127,6.3338539358
28128,10.103503611
28129,12.058775357
28130,5.4986050467
28133,9.7392175598
28134,1.6710497197
28135,6.899386653
28136,9.4356086277
28137,10.443062752
28138,8.2100584374
28139,4.472353556
28144,2.6383226021
28145,0.7928905083
28146,5.7351808855
28147,4.9546273088
28150,4.4367812332
28151,0.6467899778
28152,5.1265647833
28159,2.3596075226
28160,2.2370796529
28163,13.325000588
28164,9.2818226946
28166,8.213546118
28167,8.5937997181
28168,12.061334136
28169,7.3987426263
28170,6.4487079204
28173,10.832370599
28174,5.0204175521
28201,1.5828998619
28202,1.4490288541
28203,1.2131367117
28204,0.0505621259
28205,2.0559985438
28206,2.6955815834
28207,0.8243133475
28208,4.5858596152
28209,2.0587751872
28210,2.7766544991
28211,1.570861904
28212,3.415753487
28213,1.7161268707
28214,4.7542662429
28215,4.7507890214
28216,6.9705966796
28217,4.9416683777
28218,1.3894819508
28219,1.3894819508
28220,1.3894819508
28221,1.3894819508
28222,1.3894819508
28223,0.8477528121
28224,1.3894819508
28226,2.4048527194
28227,1.2873410669
28228,1.3894819508
28229,1.3894819508
28230,1.3894819508
28231,1.3894819508
28232,1.3894819508
28233,1.3894819508
28234,1.3894819508
28235,1.3894819508
28236,1.3894819508
28237,1.3894819508
28241,1.3894819508
28242,1.3894819508
28243,1.3894819508
28244,1.3388710163
28246,1.2992530317
28247,1.3894819508
28250,1.3894819508
28253,1.3894819508
28254,0.9655446139
28255,1.3894819508
28256,1.3894819508
28258,1.3894819508
28260,1.3894819508
28262,1.2699869837
28263,1.4731795387
28265,1.3894819508
28266,1.3894819508
28269,3.4340625165
28270,2.7792767682
28271,1.3894819508
28272,1.3100451512
28273,4.2491162345
28274,1.0180223027
28275,1.3894819508
28277,1.4717654805
28278,8.0861642871
28280,1.3100451512
28281,1.3100451512
28282,1.3100451512
28284,1.3100451512
28285,1.3100451512
28287,1.3100451512
28288,1.3894819508
28289,1.3894819508
28290,1.3894819508
28296,1.3894819508
28297,1.3894819508
28299,1.3894819508
28301,0.845924498
28302,0.4968649724
28303,4.3351692451
28304,3.6538278297
28305,1.1767567852
28306,6.5892928058
28307,8.5519710566
28308,10.786270082
28309,0.4968649724
28310,14.798071131
28311,8.108330499
28312,11.758734529
28314,5.4157252551
28315,5.3441469083
28318,15.491463682
28319,15.854441156
28320,15.089644562
28323,10.503166966
28325,17.824721105
28326,12.191380733
28327,10.047932132
28328,0
28329,1.3065782779
28330,4.2038913234
28331,3.023746618
28332,9.7009875119
28333,8.9358869789
28334,4.9797441717
28335,0.714892729
28337,0
28338,11.730638184
28339,4.0803140066
28340,15.687345284
28341,13.7088284
28342,7.9433155457
28343,6.2929294687
28344,9.6612726571
28345,1.6468253328
28347,11.608127793
28348,7.0273317307
28349,23.287747668
28350,8.0919218398
28351,7.74251599
28352,0.5649701738
28353,1.4608417805
28355,6.6248160875
28356,9.2370864524
28357,11.864773705
28358,3.8382324657
28359,1.2592599779
28360,4.263007071
28362,19.620033023
28363,7.3340314925
28364,8.011978375
28365,16.808891655
28366,14.899754249
28367,15.415303198
28368,9.5651481666
28369,14.571909167
28370,0.7008945511
28371,9.3213340574
28372,9.7699788771
28373,8.3802311172
28374,0.2057533416
28375,11.132887181
28376,18.2947057
28377,15.680242629
28378,13.46788339
28379,1.8902550134
28380,1.4614398407
28382,9.3342748507
28383,16.17016204
28384,11.038751521
28385,10.109795064
28386,15.616432645
28387,4.3692355371
28388,4.1711827564
28390,13.178075472
28391,10.79567791
28392,13.877026507
28393,8.8536617656
28394,12.827800958
28395,9.7329589264
28396,10.620808977
28398,16.434000048
28399,11.405415156
28401,4.361410308
28402,1.3873738248
28403,0.927995631
28404,1.3873738248
28405,4.3188129114
28406,1.3873738248
28407,1.3873738248
28408,1.3011802001
28409,5.2128746465
28410,1.3797307688
28411,7.2081999432
28412,5.3177738486
28420,11.348976579
28421,15.612586991
28422,5.3364647747
28423,17.34493825
28424,3.6773399565
28425,1.5672356589
28428,10.141541851
28429,8.6017601972
28430,13.65325086
28431,8.9078011111
28432,12.647539628
28433,11.608940917
28434,16.697896041
28435,14.010812865
28436,16.609098371
28438,12.532350494
28439,18.757281769
28441,10.8984872
28442,6.5896574674
28443,15.897186768
28444,14.787583317
28445,20.85997737
28447,18.159219467
28448,19.279138404
28449,6.3908590399
28450,9.736010415
28451,10.54939473
28452,17.478255275
28453,16.980110443
28454,10.768243428
28455,16.528652181
28456,23.607415299
28457,5.5067459931
28458,18.691754065
28459,10.992961074
28460,17.394398484
28461,2.614193449
28462,4.0051065893
28463,17.838522386
28464,16.583069015
28465,6.048190417
28466,14.520502369
28467,20.956140164
28468,17.255426025
28469,12.957066318
28470,9.5823379092
28472,4.8894445687
28478,9.2629718335
28479,10.92993211
28480,4.3656479957
28501,4.9335455372
28502,1.9002229419
28503,1.9002229419
28504,5.593995776
28508,18.89925675
28509,14.679670675
28510,16.687107854
28511,25.245023045
28512,2.9293426046
28513,11.007821546
28515,20.713286275
28516,16.910768196
28518,22.347158035
28519,2.6662270356
28520,28.088530319
28521,20.4139095
28522,18.282937965
28523,12.89735221
28524,16.714596483
28525,12.194399398
28526,11.102553534
28527,12.521300692
28528,12.075518284
28529,10.778051727
28530,11.422196904
28531,12.689277707
28532,13.2661866
28533,14.513570447
28537,31.325882117
28538,9.1158336615
28539,9.698792742
28540,6.9633696229
28541,2.8070631194
28542,8.6560640857
28543,1.7687389228
28544,4.1215685852
28545,5.0171287593
28546,3.8304649534
28547,5.2113102143
28551,10.53065812
28552,30.673290639
28553,13.285006158
28554,13.304204733
28555,10.384154248
28556,22.161291908
28557,0.9124756025
28560,4.8629870466
28561,1.2520590708
28562,2.8185706627
28563,1.2520590708
28564,1.2520590708
28570,8.0159047512
28571,21.130919027
28572,19.948064968
28573,9.7952606407
28574,12.226491419
28575,7.8412450561
28577,23.621011705
28578,14.140538271
28579,14.683756361
28580,11.670706074
28581,21.493127758
28582,13.379909193
28583,18.040233861
28584,15.373238161
28585,15.444133235
28586,14.80104662
28587,23.115331507
28589,15.509651589
28590,5.1584601276
28594,14.864090191
28601,2.9775426068
28602,4.9441613385
28603,0.3356096815
28604,8.959493677
28605,7.6098106778
28606,11.130441157
28607,1.5072364355
28608,1.4334776963
28609,11.968017147
28610,7.2462479724
28611,8.567801796
28612,5.508696024
28613,3.3507387522
28615,10.837658797
28616,3.1515026846
28617,6.2522036418
28618,7.5082625795
28619,0.3311717228
28621,4.0030027782
28622,10.223371719
28623,19.429731896
28624,13.825272024
28625,5.8889355935
28626,9.4615862537
28627,15.433929203
28628,6.8512710045
28629,7.783170081
28630,7.0739818952
28631,8.6893184292
28633,0.2673443072
28634,10.644445951
28635,12.260315033
28636,13.942300772
28637,4.9737782184
28638,5.8153197997
28640,3.1811623664
28641,6.4197217213
28642,2.6626357696
28643,8.1415044991
28644,10.732181459
28645,3.1222464334
28646,1.6055209608
28647,7.5116127095
28649,11.846737935
28650,6.3006456615
28651,10.139157208
28652,6.2341476353
28653,0.8812022433
28654,6.2088148443
28655,4.5354961142
28656,0.4871993071
28657,3.7387778872
28658,4.4955846007
28659,5.2559047927
28660,10.707485933
28661,5.5160390596
28662,3.9053813525
28663,12.007804181
28664,7.2892223217
28665,12.169246424
28666,3.32514447
28667,5.5437935253
28668,13.272165076
28669,8.1974522359
28670,5.2425228427
28671,0.637549561
28672,7.856207608
28673,8.8516198055
28675,17.530293154
28676,5.1865556848
28677,5.5944004615
28678,10.515913797
28679,11.176730358
28680,2.1640544002
28681,14.400061328
28682,6.5545213945
28683,9.5195703534
28684,9.347035521
28685,12.480720338
28687,1.2985700483
28688,6.2031177052
28689,14.411244411
28690,2.2745065804
28691,10.023826119
28692,9.705221451
28693,5.9736348012
28694,4.3586053486
28697,1.0953195609
28698,10.702316466
28699,8.030983561
28701,9.8534796687
28702,11.437114611
28704,7.0623748299
28705,13.221125803
28707,7.19800965
28708,10.256479557
28709,13.835756987
28710,12.480432741
28711,15.42348136
28712,4.0932967584
28713,11.185386991
28714,14.052551023
28715,10.367853756
28716,6.2457716186
28717,5.2481919867
28718,9.6614702924
28719,15.2697845
28720,13.963204983
28721,8.6688850124
28722,11.563317013
28723,10.680865179
28724,5.0870829773
28725,3.1785597121
28726,3.8880387783
28727,8.1539536293
28728,10.635883018
28729,7.5026978779
28730,10.282008519
28731,5.0235787185
28732,4.6534904721
28733,20.841492547
28734,3.4976692477
28735,9.7712441994
28736,7.8633220994
28737,17.33387295
28738,4.7240003339
28739,5.9689100715
28740,13.684096851
28741,1.2015477575
28742,8.7201864882
28743,20.58147179
28744,0.1680582536
28745,1.6686068514
28746,13.789355654
28747,14.87087387
28748,12.809607267
28749,4.3700818126
28750,14.699136961
28751,9.4701776923
28752,11.861756533
28753,21.845376097
28754,20.459709624
28755,8.3549884249
28756,11.412066456
28757,14.816464338
28758,1.0531808366
28759,6.3696617931
28760,0.7928858711
28761,14.709155113
28762,20.311456883
28763,9.6857696894
28765,3.2245130542
28766,4.9930373814
28768,2.2342525975
28770,15.249948554
28771,19.597582609
28772,11.388392604
28773,9.4902147708
28774,10.363446492
28775,8.8605331825
28776,6.2747188787
28777,0.3865224057
28778,8.6338048647
28779,2.7740081431
28781,15.964663514
28782,15.100070938
28783,12.756239859
28784,7.6100956506
28785,7.1991592833
28786,5.5917197136
28787,9.9978261873
28788,2.7654154702
28789,4.8500410319
28790,8.5795069795
28791,2.3214329167
28792,5.9842145398
28793,0.4110640219
28801,0.3787124415
28802,0.838187835
28803,3.4934064228
28804,4.1051535212
28805,4.6666617923
28806,4.1045225816
28810,0.6808799057
28813,0.838187835
28814,0.838187835
28815,0.838187835
28816,0.838187835
28901,12.31285665
28902,3.2805482928
28903,12.680280131
28904,14.943662381
28905,6.341697491
28906,8.8227691415
28909,5.233819338
